Country,Job Title,Rural,Quantity,Percentage
Austria,automatic data processing customer liaison adp customer liaison,City,1,0.04152824
Austria,automatic data processing customer liaison adp customer liaison,Rural,1,0.04152824
Austria,automatic data processing planner,City,1,0.04152824
Austria,automatic data processing planner,Rural,1,0.04152824
Austria,automatic data processing systems security specialist adp systems security,City,1,0.04152824
Austria,automatic data processing systems security specialist adp systems security,Rural,1,0.04152824
Austria,clinical data specialist,Rural,1,0.04152824
Austria,computer or data processing systems consultant,City,2,0.08305648
Austria,computer or data processing systems consultant,Rural,1,0.04152824
Austria,crime data specialist,City,1,0.04152824
Austria,data administrator,Rural,1,0.04152824
Austria,data base design analyst,City,1,0.04152824
Austria,data base design analyst,Rural,1,0.04152824
Austria,data coder operator,Rural,1,0.04152824
Austria,data communications software consultant,City,1,0.04152824
Austria,data communications software consultant,Rural,1,0.04152824
Austria,data coordinator,Rural,2,0.08305648
Austria,data entry representative,City,1,0.04152824
Austria,data entry specialist,Rural,1,0.04152824
Austria,data keyer,City,1,0.04152824
Austria,data management associate,City,1,0.04152824
Austria,data management information technology specialist,City,1,0.04152824
Austria,data officer,City,2,0.08305648
Austria,data processing auditor,Rural,3,0.12458472
Austria,data processing systems project planner,City,1,0.04152824
Austria,data security analyst,City,1,0.04152824
Austria,data security analyst,Rural,1,0.04152824
Austria,data systems manager,City,1,0.04152824
Austria,data warehouse developer,Rural,1,0.04152824
Austria,data warehousing engineer,City,4,0.16611296
Austria,data warehousing engineer,Rural,1,0.04152824
Austria,data warehousing manager,City,1,0.04152824
Austria,database administration associate,City,1,0.04152824
Austria,database administration manager,City,1,0.04152824
Austria,database architect,City,1,0.04152824
Austria,database coordinator,City,1,0.04152824
Austria,database design analyst,Rural,1,0.04152824
Austria,database developer,City,1,0.04152824
Austria,database development and administration project manager,Rural,1,0.04152824
Austria,database engineer,Rural,2,0.08305648
Austria,database manager,City,1,0.04152824
Austria,database marketing analyst,Rural,1,0.04152824
Austria,database modeler,City,1,0.04152824
Austria,database security administrator,City,2,0.08305648
Austria,database security administrator,Rural,1,0.04152824
Austria,database security expert,City,1,0.04152824
Austria,database software technician,Rural,2,0.08305648
Austria,databases computer consultant,Rural,1,0.04152824
Austria,director of data operations,Rural,1,0.04152824
Austria,electronic data processing auditor edp auditor,City,1,0.04152824
Austria,field artillery automated tactical data system specialist,City,1,0.04152824
Austria,geographic information systems data administrator gis data administrator,Rural,1,0.04152824
Austria,geographic information systems data manager gis data manager,Rural,1,0.04152824
Austria,geographic information systems data specialist gis data specialist,City,1,0.04152824
Austria,geographic information systems database administrator gis database administrator,City,3,0.12458472
Austria,geographic information systems database administrator gis database administrator,Rural,1,0.04152824
Austria,gps field data collector global positioning system field data collector,Rural,1,0.04152824
Austria,internet database specialist,Rural,1,0.04152824
Austria,maintenance data analyst,City,1,0.04152824
Austria,naval tactical data systemcombat information center watch officer general,City,1,0.04152824
Austria,naval tactical data systemcombat information center watch officer general,Rural,1,0.04152824
Belgium,automatic data processing customer liaison adp customer liaison,City,1,0.04152824
Belgium,automatic data processing planner,City,1,0.04152824
Belgium,automatic data processing planner,Rural,1,0.04152824
Belgium,automatic data processing planner adp planner,City,1,0.04152824
Belgium,automatic data processing systems security specialist adp systems security,City,1,0.04152824
Belgium,automatic data processing systems security specialist adp systems security,Rural,1,0.04152824
Belgium,clinical data associate,Rural,3,0.12458472
Belgium,clinical data coordinator,City,1,0.04152824
Belgium,crime data specialist,City,1,0.04152824
Belgium,data administrator,City,2,0.08305648
Belgium,data administrator,Rural,1,0.04152824
Belgium,data architect,City,2,0.08305648
Belgium,data architect,Rural,1,0.04152824
Belgium,data base design analyst,Rural,1,0.04152824
Belgium,data capture specialist,City,1,0.04152824
Belgium,data collector,City,1,0.04152824
Belgium,data communications analyst,Rural,1,0.04152824
Belgium,data coordinator,City,1,0.04152824
Belgium,data entry associate,City,1,0.04152824
Belgium,data entry representative,Rural,1,0.04152824
Belgium,data entry specialist,Rural,1,0.04152824
Belgium,data management associate,City,1,0.04152824
Belgium,data management information technology specialist,City,1,0.04152824
Belgium,data management information technology specialist,Rural,1,0.04152824
Belgium,data manager,Rural,1,0.04152824
Belgium,data miner,City,1,0.04152824
Belgium,data officer,City,2,0.08305648
Belgium,data officer,Rural,2,0.08305648
Belgium,data processing consultant,Rural,1,0.04152824
Belgium,data processing manager,Rural,1,0.04152824
Belgium,data processing systems analyst,City,2,0.08305648
Belgium,data processing systems project planner,City,2,0.08305648
Belgium,data recovery planner,Rural,1,0.04152824
Belgium,data scientist,City,3,0.12458472
Belgium,data scientist,Rural,1,0.04152824
Belgium,data security administrator,City,2,0.08305648
Belgium,data security administrator,Rural,1,0.04152824
Belgium,data security analyst,City,1,0.04152824
Belgium,data security analyst,Rural,1,0.04152824
Belgium,data storage specialist,City,1,0.04152824
Belgium,data systems manager,Rural,1,0.04152824
Belgium,data warehouse analyst,City,1,0.04152824
Belgium,data warehouse developer,Rural,1,0.04152824
Belgium,data warehouse specialist,City,1,0.04152824
Belgium,data warehouse specialist,Rural,1,0.04152824
Belgium,data warehousing manager,City,2,0.08305648
Belgium,database administration associate,City,2,0.08305648
Belgium,database architect,City,1,0.04152824
Belgium,database consultant,City,1,0.04152824
Belgium,database consultant,Rural,1,0.04152824
Belgium,database coordinator,City,1,0.04152824
Belgium,database design analyst,Rural,1,0.04152824
Belgium,database designer,City,2,0.08305648
Belgium,database development and administration project manager,City,1,0.04152824
Belgium,database engineer,City,2,0.08305648
Belgium,database engineer,Rural,1,0.04152824
Belgium,database management system specialist dbms specialist,City,1,0.04152824
Belgium,database management system specialist dbms specialist,Rural,1,0.04152824
Belgium,database manager,City,2,0.08305648
Belgium,database manager,Rural,1,0.04152824
Belgium,database marketing analyst,City,1,0.04152824
Belgium,database marketing analyst,Rural,1,0.04152824
Belgium,database security administrator,City,1,0.04152824
Belgium,database software technician,Rural,1,0.04152824
Belgium,database tester,City,2,0.08305648
Belgium,director of data operations,City,2,0.08305648
Belgium,director of data operations,Rural,1,0.04152824
Belgium,electronic data processing auditor edp auditor,Rural,1,0.04152824
