Country,Job Title,Rural,Quantity,Percentage
France,analytical data miner,City,2,0.04%
France,automatic data processing customer liaison adp customer liaison,City,7,0.12%
France,automatic data processing customer liaison adp customer liaison,Rural,4,0.07%
France,automatic data processing planner,City,8,0.14%
France,automatic data processing planner,Rural,5,0.09%
France,automatic data processing planner adp planner,City,7,0.12%
France,automatic data processing planner adp planner,Rural,2,0.04%
France,automatic data processing systems security specialist adp systems security,City,6,0.11%
France,automatic data processing systems security specialist adp systems security,Rural,5,0.09%
France,business database analyst,City,1,0.02%
France,business database analyst,Rural,2,0.04%
France,clinical data analyst,City,2,0.04%
France,clinical data associate,City,2,0.04%
France,clinical data coordinator,City,1,0.02%
France,clinical data coordinator,Rural,1,0.02%
France,clinical data management associate director,City,1,0.02%
France,clinical data management associate director,Rural,1,0.02%
France,clinical data management manager cdm manager,City,2,0.04%
France,clinical data management manager cdm manager,Rural,2,0.04%
France,clinical data manager,City,2,0.04%
France,clinical data specialist,City,1,0.02%
France,clinical trials data coordinator,City,3,0.05%
France,computer or data processing systems consultant,City,8,0.14%
France,computer or data processing systems consultant,Rural,6,0.11%
France,crime data specialist,City,1,0.02%
France,customer data technician,City,1,0.02%
France,data administrator,City,3,0.05%
France,data administrator,Rural,3,0.05%
France,data architect,City,7,0.12%
France,data architect,Rural,6,0.11%
France,data base design analyst,City,7,0.12%
France,data base design analyst,Rural,3,0.05%
France,data capture specialist,City,1,0.02%
France,data coder operator,City,2,0.04%
France,data collection technician,City,2,0.04%
France,data collection technician,Rural,1,0.02%
France,data collector,City,1,0.02%
France,data communications analyst,City,7,0.12%
France,data communications analyst,Rural,2,0.04%
France,data communications software consultant,City,7,0.12%
France,data communications software consultant,Rural,2,0.04%
France,data communications technician,City,1,0.02%
France,data communications technician,Rural,3,0.05%
France,data control assistant,City,1,0.02%
France,data control clerk supervisor,City,1,0.02%
France,data coordinator,City,6,0.11%
France,data coordinator,Rural,6,0.11%
France,data entry clerk,City,3,0.05%
France,data entry clerk,Rural,1,0.02%
France,data entry machine operator,City,1,0.02%
France,data entry machine operator,Rural,1,0.02%
France,data entry representative,City,3,0.05%
France,data entry representative,Rural,1,0.02%
France,data entry specialist,City,1,0.02%
France,data entry specialist,Rural,1,0.02%
France,data entry supervisor,City,1,0.02%
France,data input clerk,City,1,0.02%
France,data management associate,City,7,0.12%
France,data management associate,Rural,7,0.12%
France,data management information technology specialist,City,2,0.04%
France,data management information technology specialist,Rural,2,0.04%
France,data management manager,City,1,0.02%
France,data manager,Rural,1,0.02%
France,data miner,City,6,0.11%
France,data miner,Rural,6,0.11%
France,data modeler,City,2,0.04%
France,data modeling specialist,City,12,0.21%
France,data modeling specialist,Rural,2,0.04%
France,data officer,City,10,0.18%
France,data officer,Rural,5,0.09%
France,data operations director,City,3,0.05%
France,data operations director,Rural,3,0.05%
France,data processing auditor,City,4,0.07%
France,data processing auditor,Rural,3,0.05%
France,data processing consultant,City,5,0.09%
France,data processing manager,City,7,0.12%
France,data processing manager,Rural,2,0.04%
France,data processing systems analyst,City,6,0.11%
France,data processing systems analyst,Rural,4,0.07%
France,data processing systems project planner,City,5,0.09%
France,data processing systems project planner,Rural,2,0.04%
France,data recovery planner,City,2,0.04%
France,data reduction technician,City,1,0.02%
France,data sciences director,City,1,0.02%
France,data scientist,City,5,0.09%
France,data scientist,Rural,2,0.04%
France,data security administrator,City,9,0.16%
France,data security administrator,Rural,3,0.05%
France,data security analyst,City,7,0.12%
France,data specialist,Rural,1,0.02%
France,data storage specialist,City,6,0.11%
France,data storage specialist,Rural,3,0.05%
France,data systems manager,City,2,0.04%
France,data systems manager,Rural,4,0.07%
France,data technician,Rural,1,0.02%
France,data transcriber,City,2,0.04%
France,data transcriber,Rural,1,0.02%
France,data typist,City,1,0.02%
France,data warehouse analyst,City,7,0.12%
France,data warehouse analyst,Rural,3,0.05%
France,data warehouse architect,City,6,0.11%
France,data warehouse architect,Rural,3,0.05%
France,data warehouse developer,City,2,0.04%
France,data warehouse developer,Rural,3,0.05%
France,data warehouse specialist,City,9,0.16%
France,data warehouse specialist,Rural,2,0.04%
France,data warehousing engineer,City,5,0.09%
France,data warehousing engineer,Rural,1,0.02%
France,data warehousing manager,City,6,0.11%
France,data warehousing manager,Rural,3,0.05%
France,data warehousing specialist,City,2,0.04%
France,data warehousing specialist,Rural,5,0.09%
France,database administration associate,City,5,0.09%
France,database administration associate,Rural,5,0.09%
France,database administration manager,City,2,0.04%
France,database administration project manager,Rural,1,0.02%
France,database analyst,City,2,0.04%
France,database analyst,Rural,1,0.02%
France,database architect,City,7,0.12%
France,database architect,Rural,4,0.07%
France,database consultant,City,10,0.18%
France,database consultant,Rural,4,0.07%
France,database coordinator,City,8,0.14%
France,database coordinator,Rural,7,0.12%
France,database design analyst,City,6,0.11%
France,database design analyst,Rural,2,0.04%
France,database designer,City,4,0.07%
France,database designer,Rural,4,0.07%
France,database developer,City,1,0.02%
France,database development and administration project manager,City,6,0.11%
France,database development and administration project manager,Rural,4,0.07%
France,database development project manager,City,1,0.02%
France,database engineer,City,7,0.12%
France,database engineer,Rural,2,0.04%
France,database management system specialist dbms specialist,City,2,0.04%
France,database management system specialist dbms specialist,Rural,2,0.04%
France,database manager,City,8,0.14%
France,database manager,Rural,2,0.04%
France,database marketing analyst,City,8,0.14%
France,database marketing analyst,Rural,4,0.07%
France,database modeler,City,8,0.14%
France,database modeler,Rural,5,0.09%
France,database programmer,City,2,0.04%
France,database programmer,Rural,1,0.02%
France,database security administrator,City,2,0.04%
France,database security administrator,Rural,6,0.11%
France,database security expert,City,4,0.07%
France,database security expert,Rural,3,0.05%
France,database software technician,City,8,0.14%
France,database software technician,Rural,5,0.09%
France,database specialist,City,5,0.09%
France,database specialist,Rural,3,0.05%
France,database tester,City,7,0.12%
France,database tester,Rural,4,0.07%
France,databases computer consultant,City,5,0.09%
France,databases computer consultant,Rural,2,0.04%
France,databases software consultant,City,4,0.07%
France,databases software consultant,Rural,2,0.04%
France,datastage developer,City,1,0.02%
France,director of data operations,City,11,0.19%
France,director of data operations,Rural,5,0.09%
France,electronic data interchange system developer edi system developer,City,4,0.07%
France,electronic data interchange system developer edi system developer,Rural,5,0.09%
France,electronic data processing auditor edp auditor,City,6,0.11%
France,electronic data processing auditor edp auditor,Rural,1,0.02%
France,engineer system electronic data processing engineer system edp,City,4,0.07%
France,engineer system electronic data processing engineer system edp,Rural,2,0.04%
France,field traffic data technician,City,1,0.02%
France,field traffic data technician,Rural,1,0.02%
France,flight test data acquisition technician,Rural,1,0.02%
France,geographic information systems data administrator gis data administrator,City,8,0.14%
France,geographic information systems data administrator gis data administrator,Rural,4,0.07%
France,geographic information systems data manager gis data manager,City,4,0.07%
France,geographic information systems data manager gis data manager,Rural,2,0.04%
France,geographic information systems data specialist gis data specialist,City,6,0.11%
France,geographic information systems data specialist gis data specialist,Rural,3,0.05%
France,geographic information systems database administrator gis database administrator,City,4,0.07%
France,gps field data collector global positioning system field data collector,City,1,0.02%
France,head of information systems and data processing,City,11,0.19%
France,head of information systems and data processing,Rural,1,0.02%
France,internet database specialist,City,7,0.12%
France,internet database specialist,Rural,3,0.05%
France,log data technician,City,1,0.02%
France,log data technician,Rural,3,0.05%
France,maintenance data analyst,City,1,0.02%
France,maintenance data analyst,Rural,1,0.02%
France,marketing database analyst,Rural,1,0.02%
France,medical data analyst,Rural,2,0.04%
France,micro computer data processor,Rural,1,0.02%
France,naval tactical data systemcombat information center officer,City,1,0.02%
France,naval tactical data systemcombat information center officer,Rural,1,0.02%
France,operations officer afloat naval tactical data systems,City,1,0.02%
France,oracle database administrator oracle dba,City,9,0.16%
France,oracle database administrator oracle dba,Rural,3,0.05%
France,reference data expert,Rural,1,0.02%
France,scada operator supervisory control and data acquisition operator,City,2,0.04%
France,scada operator supervisory control and data acquisition operator,Rural,1,0.02%
France,scada technician supervisory control and data acquisition technician,City,1,0.02%
France,scada technician supervisory control and data acquisition technician,Rural,1,0.02%
France,scientific database curator,City,2,0.04%
France,sql database administrator,City,1,0.02%
France,sql database administrator,Rural,2,0.04%
France,survey data technician,Rural,1,0.02%
France,voice and data technician,City,1,0.02%
