Country,Job Title,Rural,Quantity,Percentage
Germany,automatic data processing customer liaison adp customer liaison,City,6,0.11%
Germany,automatic data processing customer liaison adp customer liaison,Rural,1,0.02%
Germany,automatic data processing planner,City,5,0.09%
Germany,automatic data processing planner,Rural,4,0.07%
Germany,automatic data processing planner adp planner,City,7,0.12%
Germany,automatic data processing planner adp planner,Rural,6,0.11%
Germany,automatic data processing systems security specialist adp systems security,City,3,0.05%
Germany,automatic data processing systems security specialist adp systems security,Rural,6,0.11%
Germany,business database analyst,City,1,0.02%
Germany,clinical data abstractor,City,3,0.05%
Germany,clinical data abstractor,Rural,1,0.02%
Germany,clinical data analyst,City,1,0.02%
Germany,clinical data analyst,Rural,1,0.02%
Germany,clinical data associate,City,1,0.02%
Germany,clinical data coordinator,City,1,0.02%
Germany,clinical data coordinator,Rural,2,0.04%
Germany,clinical data management associate director,City,2,0.04%
Germany,clinical data management associate director,Rural,1,0.02%
Germany,clinical data management manager cdm manager,City,1,0.02%
Germany,clinical data manager,Rural,1,0.02%
Germany,clinical trials data coordinator,City,1,0.02%
Germany,computer or data processing systems consultant,City,7,0.12%
Germany,computer or data processing systems consultant,Rural,5,0.09%
Germany,crime data specialist,Rural,1,0.02%
Germany,customer data technician,City,1,0.02%
Germany,customer data technician,Rural,1,0.02%
Germany,data abstractor,City,1,0.02%
Germany,data abstractor,Rural,1,0.02%
Germany,data administrator,City,7,0.12%
Germany,data administrator,Rural,6,0.11%
Germany,data architect,City,8,0.14%
Germany,data architect,Rural,5,0.09%
Germany,data base design analyst,City,6,0.11%
Germany,data base design analyst,Rural,4,0.07%
Germany,data center manager,City,1,0.02%
Germany,data center manager,Rural,1,0.02%
Germany,data center operator,City,4,0.07%
Germany,data center operator,Rural,1,0.02%
Germany,data coder operator,Rural,1,0.02%
Germany,data collection technician,City,3,0.05%
Germany,data communications analyst,City,5,0.09%
Germany,data communications analyst,Rural,8,0.14%
Germany,data communications software consultant,City,6,0.11%
Germany,data communications software consultant,Rural,4,0.07%
Germany,data compiler,Rural,2,0.04%
Germany,data control clerk supervisor,Rural,1,0.02%
Germany,data conversion operator,City,1,0.02%
Germany,data conversion operator,Rural,2,0.04%
Germany,data coordinator,City,7,0.12%
Germany,data coordinator,Rural,4,0.07%
Germany,data entry machine operator,City,1,0.02%
Germany,data entry representative,City,2,0.04%
Germany,data entry supervisor,City,2,0.04%
Germany,data entry technician,City,2,0.04%
Germany,data entry technician,Rural,1,0.02%
Germany,data input clerk,City,1,0.02%
Germany,data input clerk,Rural,1,0.02%
Germany,data keyer,City,2,0.04%
Germany,data management associate,City,3,0.05%
Germany,data management associate,Rural,2,0.04%
Germany,data management information technology specialist,City,8,0.14%
Germany,data management information technology specialist,Rural,3,0.05%
Germany,data management manager,Rural,1,0.02%
Germany,data manager,Rural,1,0.02%
Germany,data miner,City,1,0.02%
Germany,data miner,Rural,7,0.12%
Germany,data modeler,Rural,1,0.02%
Germany,data modeling specialist,City,7,0.12%
