Country,Job Title,Rural,Quantity,Percentage
Greece,automatic data processing customer liaison adp customer liaison,City,2,0.04%
Greece,automatic data processing customer liaison adp customer liaison,Rural,1,0.02%
Greece,automatic data processing planner,City,1,0.02%
Greece,automatic data processing planner adp planner,City,3,0.05%
Greece,automatic data processing systems security specialist adp systems security,City,3,0.05%
Greece,clinical data abstractor,City,2,0.04%
Greece,clinical data associate,City,1,0.02%
Greece,clinical data management manager cdm manager,City,2,0.04%
Greece,computer or data processing systems consultant,City,1,0.02%
Greece,customer data technician,City,1,0.02%
Greece,data abstractor,City,2,0.04%
Greece,data administrator,City,2,0.04%
Greece,data architect,City,2,0.04%
Greece,data architect,Rural,1,0.02%
Greece,data base design analyst,City,1,0.02%
Greece,data communications analyst,City,1,0.02%
Greece,data communications software consultant,City,3,0.05%
Greece,data communications technician,City,1,0.02%
Greece,data coordinator,City,1,0.02%
Greece,data entry clerk,City,1,0.02%
Greece,data entry technician,Rural,1,0.02%
Greece,data examination clerk,Rural,1,0.02%
Greece,data keyer,City,1,0.02%
Greece,data management information technology specialist,City,3,0.05%
Greece,data miner,City,3,0.05%
Greece,data modeling specialist,City,3,0.05%
Greece,data officer,City,3,0.05%
Greece,data processing consultant,City,2,0.04%
Greece,data processing manager,City,1,0.02%
Greece,data processing systems analyst,City,1,0.02%
Greece,data processing systems project planner,City,1,0.02%
Greece,data processor,City,1,0.02%
Greece,data scientist,City,1,0.02%
Greece,data scientist,Rural,1,0.02%
Greece,data security administrator,City,2,0.04%
Greece,data security analyst,City,2,0.04%
Greece,data storage specialist,City,1,0.02%
Greece,data systems manager,City,1,0.02%
Greece,data warehouse analyst,City,2,0.04%
Greece,data warehouse architect,City,1,0.02%
Greece,data warehouse developer,City,2,0.04%
Greece,data warehouse specialist,City,2,0.04%
Greece,data warehousing engineer,City,3,0.05%
Greece,data warehousing specialist,City,2,0.04%
Greece,data warehousing specialist,Rural,1,0.02%
Greece,database administration associate,City,1,0.02%
Greece,database administration associate,Rural,1,0.02%
Greece,database administration manager,City,2,0.04%
Greece,database administration project manager,City,1,0.02%
Greece,database architect,City,1,0.02%
Greece,database consultant,City,2,0.04%
Greece,database coordinator,City,4,0.07%
Greece,database design analyst,City,1,0.02%
Greece,database designer,City,2,0.04%
Greece,database engineer,City,2,0.04%
Greece,database management system specialist dbms specialist,City,1,0.02%
Greece,database manager,City,1,0.02%
Greece,database manager,Rural,1,0.02%
Greece,database marketing analyst,City,1,0.02%
Greece,database modeler,City,2,0.04%
Greece,database programmer,City,1,0.02%
Greece,database security expert,City,2,0.04%
Greece,database software technician,City,1,0.02%
Greece,database specialist,City,2,0.04%
Greece,database tester,City,2,0.04%
Greece,databases computer consultant,City,2,0.04%
Greece,electronic data interchange system developer edi system developer,City,1,0.02%
Greece,electronic data processing auditor edp auditor,City,1,0.02%
Greece,engineer system electronic data processing engineer system edp,City,1,0.02%
Greece,engineer system electronic data processing engineer system edp,Rural,1,0.02%
Greece,geographic information systems data administrator gis data administrator,City,2,0.04%
Greece,geographic information systems data administrator gis data administrator,Rural,1,0.02%
Greece,geographic information systems data manager gis data manager,City,1,0.02%
Greece,geographic information systems data specialist gis data specialist,City,1,0.02%
Greece,geographic information systems data specialist gis data specialist,Rural,1,0.02%
Greece,geographic information systems database administrator gis database administrator,City,1,0.02%
Greece,internet database specialist,City,2,0.04%
Greece,internet database specialist,Rural,1,0.02%
Greece,log data technician,City,1,0.02%
Greece,micro computer data processor,City,2,0.04%
Greece,naval tactical data systemcombat information center watch officer carrier controlled approach controller,City,1,0.02%
Greece,naval tactical data systemcombat information center watch officer general,City,3,0.05%
Greece,oracle database administrator oracle dba,City,2,0.04%
Greece,scada technician supervisory control and data acquisition technician,Rural,1,0.02%
Greece,sql database administrator,City,3,0.05%
Greece,weight in motion field data collection technician,Rural,1,0.02%
