Country,Job Title,Rural,Quantity,Percentage
Hungary,automatic data processing customer liaison adp customer liaison,City,1,0.02%
Hungary,automatic data processing planner,City,1,0.02%
Hungary,automatic data processing planner adp planner,City,4,0.07%
Hungary,automatic data processing systems security specialist adp systems security,City,1,0.02%
Hungary,customer data technician,City,1,0.02%
Hungary,data acquisition technician,Rural,1,0.02%
Hungary,data administrator,City,3,0.05%
Hungary,data administrator,Rural,1,0.02%
Hungary,data analysis assistant,City,1,0.02%
Hungary,data architect,City,2,0.04%
Hungary,data base design analyst,City,2,0.04%
Hungary,data capture clerk,City,1,0.02%
Hungary,data capture specialist,City,1,0.02%
Hungary,data collection technician,Rural,1,0.02%
Hungary,data communications software consultant,City,1,0.02%
Hungary,data conversion operator,City,1,0.02%
Hungary,data coordinator,City,2,0.04%
Hungary,data coordinator,Rural,1,0.02%
Hungary,data entry machine operator,City,1,0.02%
Hungary,data entry supervisor,Rural,1,0.02%
Hungary,data entry technician,City,1,0.02%
Hungary,data keyer,Rural,1,0.02%
Hungary,data management associate,City,2,0.04%
Hungary,data management associate,Rural,1,0.02%
Hungary,data management information technology specialist,City,1,0.02%
Hungary,data management information technology specialist,Rural,1,0.02%
Hungary,data miner,City,1,0.02%
Hungary,data miner,Rural,4,0.07%
Hungary,data modeling specialist,Rural,2,0.04%
Hungary,data operations director,City,1,0.02%
Hungary,data processing auditor,City,1,0.02%
Hungary,data processing auditor,Rural,1,0.02%
Hungary,data processing auxiliary equipment operator,Rural,1,0.02%
Hungary,data processing manager,Rural,1,0.02%
Hungary,data processing services sales representative,City,3,0.05%
Hungary,data processing supervisor,City,1,0.02%
Hungary,data processing systems analyst,City,2,0.04%
Hungary,data processing systems project planner,City,1,0.02%
Hungary,data processor,City,1,0.02%
Hungary,data specialist,City,2,0.04%
Hungary,data storage specialist,City,2,0.04%
Hungary,data storage specialist,Rural,1,0.02%
Hungary,data warehouse analyst,City,1,0.02%
Hungary,data warehouse analyst,Rural,1,0.02%
Hungary,data warehouse architect,City,1,0.02%
Hungary,data warehouse developer,City,1,0.02%
Hungary,data warehouse specialist,City,1,0.02%
Hungary,data warehouse specialist,Rural,3,0.05%
Hungary,data warehousing engineer,Rural,1,0.02%
Hungary,data warehousing manager,City,1,0.02%
Hungary,data warehousing specialist,City,1,0.02%
Hungary,database administration associate,City,1,0.02%
Hungary,database administration associate,Rural,2,0.04%
Hungary,database administration manager,City,1,0.02%
Hungary,database administration manager,Rural,1,0.02%
Hungary,database analyst,Rural,1,0.02%
Hungary,database consultant,Rural,2,0.04%
Hungary,database coordinator,City,1,0.02%
Hungary,database coordinator,Rural,2,0.04%
Hungary,database design analyst,City,1,0.02%
Hungary,database designer,City,1,0.02%
Hungary,database developer,City,1,0.02%
Hungary,database engineer,City,2,0.04%
Hungary,database management system specialist dbms specialist,City,1,0.02%
Hungary,database management system specialist dbms specialist,Rural,1,0.02%
Hungary,database manager,City,1,0.02%
Hungary,database marketing analyst,City,2,0.04%
Hungary,database modeler,Rural,1,0.02%
Hungary,database programmer,Rural,1,0.02%
Hungary,database security administrator,City,1,0.02%
Hungary,database software technician,City,2,0.04%
Hungary,database tester,City,1,0.02%
Hungary,databases computer consultant,City,2,0.04%
Hungary,databases software consultant,City,1,0.02%
Hungary,databases software consultant,Rural,1,0.02%
Hungary,datastage developer,City,1,0.02%
Hungary,director of data operations,City,2,0.04%
Hungary,electronic data interchange system developer edi system developer,City,1,0.02%
Hungary,electronic data processing auditor edp auditor,Rural,1,0.02%
Hungary,engineer system electronic data processing engineer system edp,City,2,0.04%
Hungary,field traffic data technician,City,2,0.04%
Hungary,flight test data acquisition technician,Rural,1,0.02%
Hungary,geographic information systems data manager gis data manager,City,3,0.05%
Hungary,geographic information systems data manager gis data manager,Rural,1,0.02%
Hungary,geographic information systems data specialist gis data specialist,City,2,0.04%
Hungary,geographic information systems database administrator gis database administrator,Rural,1,0.02%
Hungary,head of information systems and data processing,City,1,0.02%
Hungary,head of information systems and data processing,Rural,2,0.04%
Hungary,health data analyst,City,1,0.02%
Hungary,internet database specialist,City,2,0.04%
Hungary,marketing database analyst,City,1,0.02%
Hungary,naval tactical data systemcombat information center officer,City,1,0.02%
Hungary,operations officer afloat naval tactical data systems,Rural,1,0.02%
Hungary,oracle database administrator oracle dba,City,1,0.02%
Hungary,sql database administrator,City,2,0.04%
Hungary,sql database administrator,Rural,2,0.04%
