Country,Job Title,Rural,Quantity,Percentage
Italy,automatic data processing customer liaison adp customer liaison,City,8,0.14%
Italy,automatic data processing customer liaison adp customer liaison,Rural,2,0.04%
Italy,automatic data processing planner,City,5,0.09%
Italy,automatic data processing planner,Rural,2,0.04%
Italy,automatic data processing planner adp planner,City,8,0.14%
Italy,automatic data processing planner adp planner,Rural,1,0.02%
Italy,automatic data processing systems security specialist adp systems security,City,7,0.12%
Italy,automatic data processing systems security specialist adp systems security,Rural,1,0.02%
Italy,business database analyst,City,1,0.02%
Italy,clinical data abstractor,City,1,0.02%
Italy,clinical data analyst,Rural,1,0.02%
Italy,clinical data associate,City,2,0.04%
Italy,clinical data coordinator,City,1,0.02%
Italy,clinical data management associate director,City,1,0.02%
Italy,clinical data management manager cdm manager,City,3,0.05%
Italy,clinical data specialist,City,2,0.04%
Italy,computer or data processing systems consultant,City,5,0.09%
Italy,computer or data processing systems consultant,Rural,2,0.04%
Italy,customer data technician,City,1,0.02%
Italy,data acquisition technician,City,2,0.04%
Italy,data administrator,City,10,0.18%
Italy,data administrator,Rural,3,0.05%
Italy,data analysis assistant,City,1,0.02%
Italy,data analyst,City,2,0.04%
Italy,data architect,City,8,0.14%
Italy,data architect,Rural,3,0.05%
Italy,data base design analyst,City,8,0.14%
Italy,data base design analyst,Rural,1,0.02%
Italy,data capture clerk,City,2,0.04%
Italy,data capture clerk,Rural,1,0.02%
Italy,data center operator,Rural,1,0.02%
Italy,data coder operator,City,5,0.09%
Italy,data collection technician,City,1,0.02%
Italy,data collector,City,2,0.04%
Italy,data communications analyst,City,7,0.12%
Italy,data communications analyst,Rural,2,0.04%
Italy,data communications software consultant,City,5,0.09%
Italy,data communications technician,Rural,1,0.02%
Italy,data compiler,City,1,0.02%
Italy,data compiler,Rural,2,0.04%
Italy,data control assistant,City,2,0.04%
Italy,data control clerk supervisor,City,2,0.04%
Italy,data conversion operator,City,1,0.02%
Italy,data coordinator,City,8,0.14%
Italy,data coordinator,Rural,2,0.04%
Italy,data entry associate,City,1,0.02%
Italy,data entry clerk,City,2,0.04%
