Country,Job Title,Rural,Quantity,Percentage
Latvia,clinical data manager,City,1,0.02%
Latvia,data analyst,City,1,0.02%
Latvia,data architect,City,1,0.02%
Latvia,data base design analyst,City,1,0.02%
Latvia,data communications analyst,City,1,0.02%
Latvia,data conversion operator,City,1,0.02%
Latvia,data coordinator,City,1,0.02%
Latvia,data operations director,City,1,0.02%
Latvia,data processing clerk,Rural,1,0.02%
Latvia,data processing manager,Rural,1,0.02%
Latvia,data processing systems project planner,Rural,1,0.02%
Latvia,data systems manager,City,1,0.02%
Latvia,data warehouse architect,City,1,0.02%
Latvia,data warehousing engineer,City,2,0.04%
Latvia,data warehousing manager,City,1,0.02%
Latvia,data warehousing specialist,City,1,0.02%
Latvia,database administration associate,City,1,0.02%
Latvia,database design analyst,Rural,1,0.02%
Latvia,databases computer consultant,City,1,0.02%
Latvia,director of data operations,Rural,1,0.02%
Latvia,head of information systems and data processing,Rural,1,0.02%
Latvia,weight in motion field data collection technician,City,1,0.02%
