Country,Job Title,Rural,Quantity,Percentage
Poland,analytical data miner,City,3,0.05%
Poland,automatic data processing customer liaison adp customer liaison,City,11,0.19%
Poland,automatic data processing customer liaison adp customer liaison,Rural,3,0.05%
Poland,automatic data processing planner,City,5,0.09%
Poland,automatic data processing planner,Rural,1,0.02%
Poland,automatic data processing planner adp planner,City,3,0.05%
Poland,automatic data processing planner adp planner,Rural,3,0.05%
Poland,automatic data processing systems security specialist adp systems security,City,9,0.16%
Poland,clinical data abstractor,City,2,0.04%
Poland,clinical data analyst,City,3,0.05%
Poland,clinical data associate,Rural,1,0.02%
Poland,clinical data coordinator,City,1,0.02%
Poland,clinical data management associate director,Rural,1,0.02%
Poland,clinical data management manager cdm manager,City,2,0.04%
Poland,clinical data specialist,City,1,0.02%
Poland,computer or data processing systems consultant,City,6,0.11%
Poland,customer data technician,City,2,0.04%
Poland,data acquisition technician,City,2,0.04%
Poland,data administrator,City,7,0.12%
Poland,data architect,City,9,0.16%
Poland,data architect,Rural,1,0.02%
Poland,data base design analyst,City,3,0.05%
Poland,data capture clerk,City,2,0.04%
Poland,data capture specialist,City,3,0.05%
Poland,data center operator,City,1,0.02%
Poland,data coder operator,City,1,0.02%
Poland,data collection technician,City,3,0.05%
Poland,data collector,City,1,0.02%
Poland,data communications analyst,City,10,0.18%
Poland,data communications analyst,Rural,3,0.05%
Poland,data communications software consultant,City,5,0.09%
Poland,data communications software consultant,Rural,1,0.02%
Poland,data communications technician,City,1,0.02%
Poland,data communications technician,Rural,1,0.02%
Poland,data compiler,Rural,2,0.04%
Poland,data control assistant,City,1,0.02%
Poland,data coordinator,City,5,0.09%
Poland,data coordinator,Rural,3,0.05%
Poland,data entry associate,Rural,1,0.02%
Poland,data entry operator,City,1,0.02%
Poland,data entry representative,City,1,0.02%
Poland,data entry specialist,Rural,1,0.02%
Poland,data entry supervisor,City,1,0.02%
Poland,data entry technician,City,1,0.02%
Poland,data entry technician,Rural,1,0.02%
Poland,data examination clerk,City,1,0.02%
Poland,data input clerk,City,1,0.02%
Poland,data management associate,City,5,0.09%
Poland,data management information technology specialist,City,5,0.09%
Poland,data management information technology specialist,Rural,2,0.04%
Poland,data management manager,City,1,0.02%
Poland,data miner,City,7,0.12%
Poland,data modeling specialist,City,5,0.09%
Poland,data officer,City,7,0.12%
Poland,data operations director,City,3,0.05%
Poland,data operations director,Rural,1,0.02%
Poland,data processing auditor,City,5,0.09%
Poland,data processing auditor,Rural,2,0.04%
Poland,data processing clerk,City,1,0.02%
Poland,data processing consultant,City,5,0.09%
Poland,data processing control clerk,City,1,0.02%
Poland,data processing equipment repairer,City,1,0.02%
Poland,data processing manager,City,7,0.12%
Poland,data processing supervisor,City,1,0.02%
Poland,data processing systems analyst,City,4,0.07%
Poland,data processing systems analyst,Rural,1,0.02%
Poland,data processing systems project planner,City,3,0.05%
Poland,data recovery planner,Rural,1,0.02%
Poland,data reduction technician,City,1,0.02%
Poland,data reviewer,Rural,1,0.02%
Poland,data sciences director,City,2,0.04%
Poland,data scientist,City,1,0.02%
Poland,data scientist,Rural,1,0.02%
Poland,data security administrator,City,8,0.14%
Poland,data security analyst,City,8,0.14%
Poland,data security analyst,Rural,1,0.02%
Poland,data specialist,City,2,0.04%
Poland,data storage specialist,City,11,0.19%
Poland,data storage specialist,Rural,2,0.04%
Poland,data systems manager,City,5,0.09%
Poland,data systems manager,Rural,1,0.02%
Poland,data technician,City,1,0.02%
Poland,data transcriber,City,1,0.02%
Poland,data typist,City,1,0.02%
Poland,data warehouse analyst,City,7,0.12%
Poland,data warehouse analyst,Rural,1,0.02%
Poland,data warehouse architect,City,4,0.07%
Poland,data warehouse developer,City,10,0.18%
Poland,data warehouse developer,Rural,1,0.02%
Poland,data warehouse specialist,City,9,0.16%
Poland,data warehousing engineer,City,3,0.05%
Poland,data warehousing manager,City,5,0.09%
Poland,data warehousing specialist,City,4,0.07%
Poland,data warehousing specialist,Rural,1,0.02%
Poland,database administration associate,City,4,0.07%
Poland,database administration manager,City,6,0.11%
Poland,database administration project manager,City,1,0.02%
Poland,database administrator dba,City,1,0.02%
Poland,database administrator dba,Rural,1,0.02%
Poland,database analyst,City,2,0.04%
Poland,database architect,City,3,0.05%
Poland,database architect,Rural,1,0.02%
Poland,database consultant,City,4,0.07%
Poland,database consultant,Rural,2,0.04%
Poland,database coordinator,City,5,0.09%
Poland,database coordinator,Rural,1,0.02%
Poland,database design analyst,City,9,0.16%
Poland,database design analyst,Rural,1,0.02%
Poland,database designer,City,4,0.07%
Poland,database designer,Rural,1,0.02%
Poland,database developer,City,2,0.04%
Poland,database development and administration project manager,City,10,0.18%
Poland,database development and administration project manager,Rural,2,0.04%
Poland,database engineer,City,5,0.09%
