Country,Job Title,Rural,Quantity,Percentage
Portugal,analytical data miner,City,1,0.02%
Portugal,automatic data processing customer liaison adp customer liaison,City,3,0.05%
Portugal,automatic data processing planner,City,1,0.02%
Portugal,automatic data processing planner adp planner,City,1,0.02%
Portugal,automatic data processing systems security specialist adp systems security,City,4,0.07%
Portugal,automatic data processing systems security specialist adp systems security,Rural,1,0.02%
Portugal,clinical data coordinator,City,1,0.02%
Portugal,clinical data management associate director,City,1,0.02%
Portugal,clinical data manager,City,1,0.02%
Portugal,clinical data specialist,City,1,0.02%
Portugal,computer or data processing systems consultant,City,2,0.04%
Portugal,computer or data processing systems consultant,Rural,1,0.02%
Portugal,data administrator,City,4,0.07%
Portugal,data administrator,Rural,1,0.02%
Portugal,data architect,City,1,0.02%
Portugal,data architect,Rural,1,0.02%
Portugal,data base design analyst,Rural,2,0.04%
Portugal,data capture clerk,City,2,0.04%
Portugal,data center operator,City,1,0.02%
Portugal,data collector,City,1,0.02%
Portugal,data communications analyst,City,2,0.04%
Portugal,data communications software consultant,City,5,0.09%
Portugal,data communications technician,City,1,0.02%
Portugal,data conversion operator,City,1,0.02%
Portugal,data coordinator,City,5,0.09%
Portugal,data coordinator,Rural,1,0.02%
Portugal,data entry machine operator,City,1,0.02%
Portugal,data management associate,City,3,0.05%
Portugal,data management information technology specialist,City,1,0.02%
Portugal,data management manager,City,1,0.02%
Portugal,data manager,Rural,1,0.02%
Portugal,data miner,City,1,0.02%
Portugal,data modeling specialist,City,1,0.02%
Portugal,data officer,City,3,0.05%
Portugal,data processing clerk,Rural,1,0.02%
Portugal,data processing consultant,City,5,0.09%
Portugal,data processing control clerk,City,1,0.02%
Portugal,data processing equipment repairer,Rural,1,0.02%
Portugal,data processing manager,City,1,0.02%
Portugal,data processing manager,Rural,3,0.05%
Portugal,data processing services sales representative,City,1,0.02%
Portugal,data processing systems project planner,City,2,0.04%
Portugal,data processor,City,1,0.02%
Portugal,data recovery planner,City,3,0.05%
Portugal,data reduction technician,City,1,0.02%
Portugal,data scientist,City,2,0.04%
Portugal,data scientist,Rural,2,0.04%
Portugal,data security analyst,City,4,0.07%
Portugal,data storage specialist,City,1,0.02%
Portugal,data storage specialist,Rural,1,0.02%
Portugal,data warehouse analyst,City,2,0.04%
Portugal,data warehouse architect,City,1,0.02%
Portugal,data warehouse architect,Rural,1,0.02%
Portugal,data warehouse specialist,City,1,0.02%
Portugal,data warehousing engineer,Rural,1,0.02%
Portugal,data warehousing manager,City,1,0.02%
Portugal,database administration associate,City,2,0.04%
Portugal,database administration manager,Rural,1,0.02%
Portugal,database architect,City,3,0.05%
Portugal,database consultant,City,2,0.04%
Portugal,database coordinator,City,1,0.02%
Portugal,database coordinator,Rural,1,0.02%
Portugal,database development and administration project manager,City,1,0.02%
Portugal,database engineer,City,2,0.04%
Portugal,database management system specialist dbms specialist,City,1,0.02%
Portugal,database manager,City,2,0.04%
Portugal,database manager,Rural,1,0.02%
Portugal,database marketing analyst,City,1,0.02%
Portugal,database software technician,City,1,0.02%
Portugal,database software technician,Rural,1,0.02%
Portugal,database specialist,City,3,0.05%
Portugal,databases computer consultant,City,1,0.02%
Portugal,databases software consultant,City,3,0.05%
Portugal,electronic data interchange system developer edi system developer,City,2,0.04%
Portugal,electronic data interchange system developer edi system developer,Rural,1,0.02%
Portugal,electronic data processing auditor edp auditor,City,3,0.05%
Portugal,engineer system electronic data processing engineer system edp,City,1,0.02%
Portugal,field traffic data technician,City,1,0.02%
Portugal,geographic information systems data administrator gis data administrator,City,3,0.05%
Portugal,geographic information systems data manager gis data manager,City,1,0.02%
Portugal,geographic information systems data specialist gis data specialist,City,1,0.02%
Portugal,geographic information systems data specialist gis data specialist,Rural,1,0.02%
Portugal,geographic information systems database administrator gis database administrator,Rural,1,0.02%
Portugal,internet database specialist,City,1,0.02%
Portugal,lidar data analyst,Rural,1,0.02%
Portugal,log data technician,City,1,0.02%
Portugal,micro computer data processor,City,1,0.02%
Portugal,oracle database administrator oracle dba,City,1,0.02%
Portugal,sql database administrator,City,2,0.04%
