Country,Job Title,Rural,Quantity,Percentage
Romania,analytical data miner,City,1,0.02%
Romania,automatic data processing customer liaison adp customer liaison,City,3,0.05%
Romania,automatic data processing customer liaison adp customer liaison,Rural,2,0.04%
Romania,automatic data processing planner,City,3,0.05%
Romania,automatic data processing planner adp planner,City,3,0.05%
Romania,automatic data processing systems security specialist adp systems security,City,2,0.04%
Romania,automatic data processing systems security specialist adp systems security,Rural,1,0.02%
Romania,business database analyst,City,2,0.04%
Romania,clinical data analyst,City,1,0.02%
Romania,clinical data associate,City,2,0.04%
Romania,clinical data manager,City,2,0.04%
Romania,computer or data processing systems consultant,City,4,0.07%
Romania,computer or data processing systems consultant,Rural,2,0.04%
Romania,crime data specialist,Rural,1,0.02%
Romania,customer data technician,City,1,0.02%
Romania,data abstractor,Rural,1,0.02%
Romania,data administrator,City,5,0.09%
Romania,data analysis assistant,City,2,0.04%
Romania,data architect,City,4,0.07%
Romania,data architect,Rural,1,0.02%
Romania,data base design analyst,City,2,0.04%
Romania,data center operator,City,2,0.04%
Romania,data coder operator,City,1,0.02%
Romania,data collection technician,City,2,0.04%
Romania,data communications analyst,City,1,0.02%
Romania,data communications software consultant,City,1,0.02%
Romania,data compiler,City,1,0.02%
Romania,data coordinator,City,3,0.05%
Romania,data entry clerk,Rural,1,0.02%
Romania,data entry operator,City,1,0.02%
Romania,data entry representative,City,1,0.02%
Romania,data entry specialist,City,1,0.02%
Romania,data entry supervisor,Rural,1,0.02%
Romania,data entry technician,City,1,0.02%
Romania,data entry technician,Rural,1,0.02%
Romania,data input clerk,City,1,0.02%
Romania,data input clerk,Rural,1,0.02%
Romania,data management associate,City,7,0.12%
Romania,data management information technology specialist,City,2,0.04%
Romania,data management manager,City,1,0.02%
Romania,data miner,City,3,0.05%
Romania,data modeler,City,1,0.02%
Romania,data modeler,Rural,1,0.02%
Romania,data modeling specialist,City,1,0.02%
Romania,data modeling specialist,Rural,1,0.02%
Romania,data officer,City,6,0.11%
Romania,data officer,Rural,1,0.02%
Romania,data processing auditor,City,1,0.02%
Romania,data processing auditor,Rural,2,0.04%
Romania,data processing consultant,City,2,0.04%
Romania,data processing manager,Rural,1,0.02%
Romania,data processing systems analyst,City,1,0.02%
Romania,data processing systems project planner,City,6,0.11%
Romania,data processing systems project planner,Rural,1,0.02%
Romania,data processor,City,1,0.02%
Romania,data processor,Rural,1,0.02%
Romania,data sciences director,City,1,0.02%
Romania,data security administrator,City,3,0.05%
Romania,data security analyst,City,4,0.07%
Romania,data security analyst,Rural,1,0.02%
Romania,data storage specialist,City,4,0.07%
Romania,data storage specialist,Rural,1,0.02%
Romania,data systems manager,City,1,0.02%
Romania,data systems manager,Rural,1,0.02%
Romania,data warehouse analyst,City,1,0.02%
Romania,data warehouse analyst,Rural,1,0.02%
Romania,data warehouse architect,City,2,0.04%
Romania,data warehouse developer,City,2,0.04%
Romania,data warehouse specialist,City,1,0.02%
Romania,data warehouse specialist,Rural,1,0.02%
Romania,data warehousing engineer,City,4,0.07%
Romania,data warehousing manager,City,3,0.05%
Romania,data warehousing specialist,City,2,0.04%
Romania,data warehousing specialist,Rural,1,0.02%
Romania,database administration associate,City,2,0.04%
Romania,database administration associate,Rural,1,0.02%
Romania,database administration manager,City,2,0.04%
Romania,database analyst,City,3,0.05%
Romania,database architect,City,4,0.07%
Romania,database consultant,City,7,0.12%
Romania,database design analyst,City,1,0.02%
Romania,database design analyst,Rural,1,0.02%
Romania,database designer,City,2,0.04%
Romania,database designer,Rural,1,0.02%
Romania,database development and administration project manager,City,2,0.04%
Romania,database engineer,City,2,0.04%
Romania,database engineer,Rural,1,0.02%
Romania,database management system specialist dbms specialist,City,4,0.07%
Romania,database manager,City,1,0.02%
Romania,database manager,Rural,1,0.02%
Romania,database modeler,Rural,1,0.02%
Romania,database programmer,City,2,0.04%
Romania,database security administrator,City,2,0.04%
Romania,database security expert,City,1,0.02%
Romania,database software technician,City,1,0.02%
Romania,database specialist,City,5,0.09%
Romania,database technician,City,1,0.02%
Romania,database tester,City,6,0.11%
Romania,databases computer consultant,City,4,0.07%
Romania,databases software consultant,City,2,0.04%
Romania,databases software consultant,Rural,1,0.02%
Romania,director of data operations,City,4,0.07%
Romania,electronic data interchange system developer edi system developer,City,2,0.04%
Romania,electronic data processing auditor edp auditor,City,4,0.07%
Romania,engineer system electronic data processing engineer system edp,City,3,0.05%
Romania,field artillery automated tactical data system specialist,City,1,0.02%
Romania,field artillery automated tactical data system specialist,Rural,1,0.02%
Romania,field traffic data technician,City,2,0.04%
Romania,geographic information systems data administrator gis data administrator,City,2,0.04%
Romania,geographic information systems data manager gis data manager,City,2,0.04%
Romania,geographic information systems data specialist gis data specialist,Rural,1,0.02%
Romania,gps field data collector global positioning system field data collector,City,1,0.02%
Romania,head of information systems and data processing,City,4,0.07%
Romania,head of information systems and data processing,Rural,2,0.04%
Romania,health data analyst,City,1,0.02%
Romania,internet database specialist,City,1,0.02%
Romania,marketing database analyst,City,1,0.02%
Romania,medical data analyst,City,1,0.02%
Romania,micro computer data processor,City,1,0.02%
Romania,naval tactical data systemcombat information center officer,City,1,0.02%
Romania,oracle database administrator oracle dba,City,2,0.04%
Romania,reference data expert,City,2,0.04%
Romania,scada operator supervisory control and data acquisition operator,City,1,0.02%
Romania,scada technician supervisory control and data acquisition technician,City,1,0.02%
Romania,sql database administrator,City,3,0.05%
Romania,sql database administrator,Rural,1,0.02%
Romania,voice and data technician,City,1,0.02%
