Country,Job Title,Rural,Quantity,Percentage
Slovakia,automatic data processing customer liaison adp customer liaison,Rural,1,0.02%
Slovakia,automatic data processing planner,City,1,0.02%
Slovakia,automatic data processing planner,Rural,1,0.02%
Slovakia,automatic data processing planner adp planner,City,1,0.02%
Slovakia,automatic data processing systems security specialist adp systems security,City,4,0.07%
Slovakia,computer or data processing systems consultant,City,1,0.02%
Slovakia,computer or data processing systems consultant,Rural,1,0.02%
Slovakia,data acquisition technician,Rural,1,0.02%
Slovakia,data administrator,City,2,0.04%
Slovakia,data base design analyst,City,1,0.02%
Slovakia,data capture specialist,City,1,0.02%
Slovakia,data communications analyst,City,1,0.02%
Slovakia,data conversion operator,City,1,0.02%
Slovakia,data management associate,City,2,0.04%
Slovakia,data management information technology specialist,Rural,1,0.02%
Slovakia,data officer,City,2,0.04%
Slovakia,data operations director,City,1,0.02%
Slovakia,data processing auditor,City,3,0.05%
Slovakia,data processing consultant,Rural,1,0.02%
Slovakia,data processing manager,City,1,0.02%
Slovakia,data processing systems analyst,Rural,1,0.02%
Slovakia,data processing systems project planner,Rural,2,0.04%
Slovakia,data reviewer,City,1,0.02%
Slovakia,data scientist,City,3,0.05%
Slovakia,data security analyst,Rural,3,0.05%
Slovakia,data systems manager,City,1,0.02%
Slovakia,data transcriber,City,1,0.02%
Slovakia,data warehouse analyst,City,1,0.02%
Slovakia,data warehouse developer,City,1,0.02%
Slovakia,data warehouse specialist,City,1,0.02%
Slovakia,data warehousing engineer,Rural,1,0.02%
Slovakia,data warehousing manager,Rural,1,0.02%
Slovakia,data warehousing specialist,City,1,0.02%
Slovakia,database consultant,Rural,1,0.02%
Slovakia,database engineer,City,1,0.02%
Slovakia,database management system specialist dbms specialist,City,1,0.02%
Slovakia,database management system specialist dbms specialist,Rural,1,0.02%
Slovakia,database manager,City,3,0.05%
Slovakia,database security administrator,Rural,1,0.02%
Slovakia,database specialist,City,1,0.02%
Slovakia,database tester,Rural,1,0.02%
Slovakia,databases computer consultant,City,1,0.02%
Slovakia,databases software consultant,City,1,0.02%
Slovakia,flight data technician,City,1,0.02%
Slovakia,geographic information systems data administrator gis data administrator,City,2,0.04%
Slovakia,geographic information systems data administrator gis data administrator,Rural,1,0.02%
Slovakia,geographic information systems data manager gis data manager,City,1,0.02%
Slovakia,internet database specialist,Rural,1,0.02%
