Country,Job Title,Rural,Quantity,Percentage
Spain,analytical data miner,City,1,0.02%
Spain,automatic data processing customer liaison adp customer liaison,City,9,0.16%
Spain,automatic data processing customer liaison adp customer liaison,Rural,2,0.04%
Spain,automatic data processing planner,City,8,0.14%
Spain,automatic data processing planner,Rural,1,0.02%
Spain,automatic data processing planner adp planner,City,11,0.19%
Spain,automatic data processing systems security specialist adp systems security,City,5,0.09%
Spain,automatic data processing systems security specialist adp systems security,Rural,2,0.04%
Spain,business database analyst,City,2,0.04%
Spain,clinical data abstractor,City,1,0.02%
Spain,clinical data associate,City,2,0.04%
Spain,clinical data management manager cdm manager,City,2,0.04%
Spain,clinical data management manager cdm manager,Rural,1,0.02%
Spain,clinical data manager,City,2,0.04%
Spain,clinical data specialist,City,1,0.02%
Spain,computer or data processing systems consultant,City,8,0.14%
Spain,computer or data processing systems consultant,Rural,1,0.02%
Spain,crime data specialist,City,1,0.02%
Spain,data administrator,City,2,0.04%
Spain,data analysis assistant,City,1,0.02%
Spain,data analyst,City,1,0.02%
Spain,data architect,City,7,0.12%
Spain,data architect,Rural,1,0.02%
Spain,data base design analyst,City,6,0.11%
Spain,data collector,Rural,1,0.02%
Spain,data communications analyst,City,5,0.09%
Spain,data communications software consultant,City,9,0.16%
Spain,data communications software consultant,Rural,1,0.02%
Spain,data communications technician,City,2,0.04%
Spain,data compiler,City,3,0.05%
Spain,data compiler,Rural,1,0.02%
Spain,data control clerk supervisor,City,1,0.02%
Spain,data conversion operator,City,1,0.02%
Spain,data coordinator,City,9,0.16%
Spain,data coordinator,Rural,1,0.02%
Spain,data entry associate,Rural,1,0.02%
Spain,data entry machine operator,City,1,0.02%
Spain,data entry machine operator,Rural,2,0.04%
Spain,data entry operator,City,1,0.02%
Spain,data entry representative,City,1,0.02%
Spain,data entry specialist,Rural,1,0.02%
Spain,data entry supervisor,City,1,0.02%
Spain,data examination clerk,City,1,0.02%
Spain,data input clerk,City,1,0.02%
Spain,data keyer,City,1,0.02%
Spain,data management associate,City,9,0.16%
Spain,data management associate,Rural,1,0.02%
Spain,data management information technology specialist,City,5,0.09%
Spain,data management manager,City,1,0.02%
Spain,data miner,City,3,0.05%
Spain,data miner,Rural,2,0.04%
Spain,data modeler,City,1,0.02%
Spain,data modeling specialist,City,7,0.12%
Spain,data modeling specialist,Rural,2,0.04%
Spain,data officer,City,2,0.04%
Spain,data operations director,City,4,0.07%
Spain,data processing auditor,City,3,0.05%
Spain,data processing auditor,Rural,1,0.02%
Spain,data processing auxiliary equipment operator,City,2,0.04%
Spain,data processing clerk,City,2,0.04%
Spain,data processing clerk,Rural,1,0.02%
Spain,data processing consultant,City,5,0.09%
Spain,data processing consultant,Rural,1,0.02%
Spain,data processing equipment repairer,City,3,0.05%
Spain,data processing equipment repairer,Rural,1,0.02%
Spain,data processing manager,City,8,0.14%
Spain,data processing mechanic,City,1,0.02%
Spain,data processing supervisor,City,2,0.04%
Spain,data processing systems analyst,City,9,0.16%
Spain,data processing systems analyst,Rural,1,0.02%
Spain,data processing systems project planner,City,7,0.12%
Spain,data processing systems project planner,Rural,1,0.02%
Spain,data recovery planner,City,1,0.02%
Spain,data recovery planner,Rural,1,0.02%
Spain,data reduction technician,City,4,0.07%
Spain,data reviewer,City,1,0.02%
Spain,data sciences director,City,4,0.07%
Spain,data sciences director,Rural,1,0.02%
Spain,data scientist,City,7,0.12%
Spain,data security administrator,City,9,0.16%
Spain,data security administrator,Rural,2,0.04%
Spain,data security analyst,City,8,0.14%
Spain,data security analyst,Rural,2,0.04%
Spain,data storage specialist,City,4,0.07%
Spain,data storage specialist,Rural,1,0.02%
Spain,data systems manager,City,10,0.18%
Spain,data systems manager,Rural,1,0.02%
Spain,data technician,City,2,0.04%
Spain,data transcriber,City,2,0.04%
Spain,data typist,City,1,0.02%
Spain,data warehouse analyst,City,7,0.12%
Spain,data warehouse analyst,Rural,1,0.02%
Spain,data warehouse architect,City,8,0.14%
Spain,data warehouse architect,Rural,1,0.02%
Spain,data warehouse developer,City,2,0.04%
Spain,data warehouse specialist,City,7,0.12%
Spain,data warehouse specialist,Rural,2,0.04%
Spain,data warehousing engineer,City,4,0.07%
Spain,data warehousing engineer,Rural,1,0.02%
Spain,data warehousing manager,City,5,0.09%
Spain,data warehousing specialist,City,3,0.05%
Spain,database administration associate,City,7,0.12%
Spain,database administration manager,City,5,0.09%
Spain,database administration manager,Rural,3,0.05%
Spain,database administration project manager,City,2,0.04%
Spain,database architect,City,7,0.12%
Spain,database architect,Rural,1,0.02%
Spain,database consultant,City,3,0.05%
Spain,database coordinator,City,9,0.16%
Spain,database coordinator,Rural,3,0.05%
Spain,database design analyst,City,4,0.07%
Spain,database designer,City,2,0.04%
Spain,database designer,Rural,3,0.05%
Spain,database developer,City,1,0.02%
Spain,database development and administration project manager,City,11,0.19%
Spain,database development and administration project manager,Rural,2,0.04%
Spain,database development project manager,City,1,0.02%
Spain,database development project manager,Rural,1,0.02%
Spain,database engineer,City,10,0.18%
Spain,database engineer,Rural,1,0.02%
Spain,database management system specialist dbms specialist,City,10,0.18%
Spain,database management system specialist dbms specialist,Rural,3,0.05%
Spain,database manager,City,8,0.14%
Spain,database manager,Rural,1,0.02%
Spain,database marketing analyst,City,4,0.07%
Spain,database marketing analyst,Rural,2,0.04%
Spain,database modeler,City,1,0.02%
Spain,database modeler,Rural,1,0.02%
Spain,database security administrator,City,7,0.12%
Spain,database security administrator,Rural,1,0.02%
Spain,database security expert,City,6,0.11%
Spain,database security expert,Rural,2,0.04%
Spain,database software technician,City,6,0.11%
Spain,database software technician,Rural,2,0.04%
Spain,database specialist,City,4,0.07%
Spain,database specialist,Rural,1,0.02%
Spain,database technician,City,1,0.02%
Spain,database tester,City,2,0.04%
Spain,database tester,Rural,1,0.02%
Spain,databases computer consultant,City,4,0.07%
Spain,databases computer consultant,Rural,1,0.02%
Spain,databases software consultant,City,7,0.12%
Spain,datastage developer,City,1,0.02%
Spain,director of data operations,City,8,0.14%
Spain,electronic data interchange system developer edi system developer,City,9,0.16%
Spain,electronic data processing auditor edp auditor,City,6,0.11%
Spain,engineer system electronic data processing engineer system edp,City,5,0.09%
