uuid,age,gender,dem_has_children,age_group,country_code,rural,dem_education_level,dem_full_time_job,normalized_job_code,question_bbi_2016wave4_basicincome_awareness,question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_effect,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst,normalized_job_title,country
54f0f1c0-dda1-0133-a559-0a81e8b09a82,57 years old,male,yES,40_65,AT,urban,high,yes,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would probably vote for it,A basic income would not affect my work choices,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working,automatic data processing planner,Austria
cf24ed60-da3f-0133-0034-0a81e8b09a82,48 years old,FeMale,NO,40_65,AT,Country,high,yes,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It creates more equality of opportunity | It reduces bureaucracy and administrative expenses | It increases appreciation for household work and volunteering",None of the above,automatic data processing planner,Austria
9ffc7390-dba5-0133-259b-0a81e8b09a82,43 years old,male,YES,40_65,BE,Country,high,yes,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone",It increases dependence on the state,automatic data processing planner,Belgium
a6361230-da58-0133-cd5a-0a81e8b09a82,43 years old,Male,yES,40_65,BE,urban,medium,yes,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would probably vote against it,A basic income would not affect my work choices,None of the above,Only the people who need it most should get something from the state | It might encourage people to stop working,automatic data processing planner,Belgium
1e2b4750-d987-0133-3c7c-0a81e8b09a82,52 years old,female,YES,40_65,BG,urban,high,yes,861a9b9151e11362eb3c77ca914172d0,I have heard just a little about it,I would probably vote for it,A basic income would not affect my work choices,It reduces anxiety about financing basic needs,It might encourage people to stop working,automatic data processing planner,Bulgaria
c878db70-d9a7-0133-5c31-0a81e8b09a82,48 years old,male,yES,40_65,CZ,Non-Rural,medium,yes,861a9b9151e11362eb3c77ca914172d0,I know something about it,I would probably vote for it,‰Û_ work less,"It reduces anxiety about financing basic needs | It increases solidarity, because it is funded by everyone | It reduces bureaucracy and administrative expenses",It might encourage people to stop working | Only the people who need it most should get something from the state | Foreigners might come to my country and take advantage of the benefit,automatic data processing planner,Czechia
cb5b3bb0-d952-0133-68a1-0a81e8b09a82,43 years old,male,YES,40_65,CZ,Non-Rural,high,yes,861a9b9151e11362eb3c77ca914172d0,I have heard just a little about it,I would vote against it,A basic income would not affect my work choices,None of the above,It is impossible to finance | It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state,automatic data processing planner,Czechia
28de2470-dcc0-0133-4e03-0a81e8b09a82,40 years old,male,yES,40_65,DE,urban,medium,yes,861a9b9151e11362eb3c77ca914172d0,I know something about it,I would probably vote for it,‰Û_ work less,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit,automatic data processing planner,Germany
02125970-de61-0133-ffbb-0a81e8b09a82,40 years old,male,nO,40_65,DE,city,high,yes,861a9b9151e11362eb3c77ca914172d0,I know something about it,I would probably vote for it,None of the above,"It reduces bureaucracy and administrative expenses | It increases solidarity, because it is funded by everyone",It is impossible to finance,automatic data processing planner,Germany
cf948390-da7a-0133-872a-0a81e8b09a82,1988,male,NO,26_39,DE,Country,high,yes,861a9b9151e11362eb3c77ca914172d0,I understand it fully,I would vote against it,‰Û_ gain additional skills,None of the above,It increases dependence on the state,automatic data processing planner,Germany
75735db0-da5a-0133-3e20-0a81e8b09a82,36 years old,female,yES,26_39,DE,Non-Rural,high,yes,861a9b9151e11362eb3c77ca914172d0,I have heard just a little about it,I would not vote,‰Û_ look for a different job,It reduces anxiety about financing basic needs | It increases appreciation for household work and volunteering,It is impossible to finance | It might encourage people to stop working,automatic data processing planner,Germany
4fd34040-da47-0133-1219-0a81e8b09a82,39 years old,male,nO,26_39,DE,rural,low,yes,861a9b9151e11362eb3c77ca914172d0,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,automatic data processing planner,Germany
36e08e00-db8f-0133-dd8a-0a81e8b09a82,64 years old,male,nO,40_65,DE,Non-Rural,,yes,861a9b9151e11362eb3c77ca914172d0,I know something about it,I would vote against it,‰Û_ stop working,It encourages financial independence and self-responsibility,It is impossible to finance,automatic data processing planner,Germany
