Country,Job Title,Rural,Quantity,Percentage
Germany,data officer,City,13,0.23%
Great Britain,database tester,City,12,0.21%
Italy,data modeling specialist,City,12,0.21%
Italy,data miner,City,12,0.21%
Germany,database consultant,City,12,0.21%
France,data modeling specialist,City,12,0.21%
Poland,geographic information systems data specialist gis data specialist,City,11,0.19%
Germany,database management system specialist dbms specialist,City,11,0.19%
Poland,data storage specialist,City,11,0.19%
Italy,data scientist,City,11,0.19%
Poland,automatic data processing customer liaison adp customer liaison,City,11,0.19%
France,director of data operations,City,11,0.19%
France,head of information systems and data processing,City,11,0.19%
Italy,database architect,City,11,0.19%
Spain,database development and administration project manager,City,11,0.19%
Spain,automatic data processing planner adp planner,City,11,0.19%
Germany,data warehouse specialist,City,10,0.18%
France,database consultant,City,10,0.18%
Italy,data warehouse architect,City,10,0.18%
Poland,database development and administration project manager,City,10,0.18%
Germany,geographic information systems data specialist gis data specialist,City,10,0.18%
Italy,data storage specialist,City,10,0.18%
Italy,database administration manager,City,10,0.18%
Poland,database security administrator,City,10,0.18%
Poland,data communications analyst,City,10,0.18%
Poland,data warehouse developer,City,10,0.18%
Great Britain,computer or data processing systems consultant,City,10,0.18%
Spain,database engineer,City,10,0.18%
Italy,database management system specialist dbms specialist,City,10,0.18%
Poland,sql database administrator,City,10,0.18%
Spain,data systems manager,City,10,0.18%
Spain,database management system specialist dbms specialist,City,10,0.18%
Italy,data administrator,City,10,0.18%
France,data officer,City,10,0.18%
Germany,engineer system electronic data processing engineer system edp,City,10,0.18%
Italy,data officer,City,10,0.18%
Great Britain,database administration associate,City,10,0.18%
Spain,data management associate,City,9,0.16%
Great Britain,geographic information systems data specialist gis data specialist,City,9,0.16%
France,oracle database administrator oracle dba,City,9,0.16%
Spain,data processing systems analyst,City,9,0.16%
Poland,data architect,City,9,0.16%
Spain,database coordinator,City,9,0.16%
France,data warehouse specialist,City,9,0.16%
Italy,database security administrator,City,9,0.16%
France,data security administrator,City,9,0.16%
Germany,data storage specialist,City,9,0.16%
Great Britain,database designer,City,9,0.16%
Poland,automatic data processing systems security specialist adp systems security,City,9,0.16%
Italy,data processing systems analyst,City,9,0.16%
Great Britain,head of information systems and data processing,City,9,0.16%
Poland,database design analyst,City,9,0.16%
Germany,head of information systems and data processing,City,9,0.16%
Germany,internet database specialist,City,9,0.16%
Italy,data processing auditor,City,9,0.16%
Spain,automatic data processing customer liaison adp customer liaison,City,9,0.16%
Germany,database modeler,City,9,0.16%
Italy,data processing systems project planner,City,9,0.16%
Germany,oracle database administrator oracle dba,Rural,9,0.16%
Spain,electronic data interchange system developer edi system developer,City,9,0.16%
Poland,data warehouse specialist,City,9,0.16%
Germany,oracle database administrator oracle dba,City,9,0.16%
Spain,data security administrator,City,9,0.16%
Poland,database security expert,City,9,0.16%
Spain,data communications software consultant,City,9,0.16%
Poland,director of data operations,City,9,0.16%
Italy,geographic information systems database administrator gis database administrator,City,9,0.16%
Spain,data coordinator,City,9,0.16%
Italy,internet database specialist,City,9,0.16%
Poland,geographic information systems database administrator gis database administrator,City,9,0.16%
Germany,data architect,City,8,0.14%
Italy,data base design analyst,City,8,0.14%
Spain,data security analyst,City,8,0.14%
Spain,geographic information systems data administrator gis data administrator,City,8,0.14%
Spain,database manager,City,8,0.14%
France,database software technician,City,8,0.14%
France,database coordinator,City,8,0.14%
Italy,data warehousing manager,City,8,0.14%
Italy,data architect,City,8,0.14%
Italy,data coordinator,City,8,0.14%
France,geographic information systems data administrator gis data administrator,City,8,0.14%
Italy,data warehouse specialist,City,8,0.14%
Great Britain,database engineer,City,8,0.14%
Great Britain,data processing systems analyst,City,8,0.14%
Great Britain,data systems manager,City,8,0.14%
France,database modeler,City,8,0.14%
Spain,director of data operations,City,8,0.14%
France,database marketing analyst,City,8,0.14%
France,database manager,City,8,0.14%
Great Britain,database consultant,City,8,0.14%
Spain,data warehouse architect,City,8,0.14%
Poland,data security administrator,City,8,0.14%
Spain,computer or data processing systems consultant,City,8,0.14%
France,computer or data processing systems consultant,City,8,0.14%
Germany,database administration manager,Rural,8,0.14%
Italy,database security expert,City,8,0.14%
Germany,data communications analyst,Rural,8,0.14%
Germany,data warehouse developer,City,8,0.14%
Germany,data processing consultant,City,8,0.14%
Germany,database engineer,City,8,0.14%
Italy,sql database administrator,City,8,0.14%
Germany,data warehouse architect,City,8,0.14%
Germany,database software technician,City,8,0.14%
Great Britain,oracle database administrator oracle dba,City,8,0.14%
Spain,automatic data processing planner,City,8,0.14%
Poland,data security analyst,City,8,0.14%
Germany,electronic data interchange system developer edi system developer,Rural,8,0.14%
Spain,data processing manager,City,8,0.14%
Italy,automatic data processing customer liaison adp customer liaison,City,8,0.14%
Great Britain,data architect,City,8,0.14%
Germany,data management information technology specialist,City,8,0.14%
France,automatic data processing planner,City,8,0.14%
Italy,database designer,City,8,0.14%
Great Britain,sql database administrator,City,8,0.14%
Germany,electronic data processing auditor edp auditor,City,8,0.14%
Great Britain,database security expert,City,8,0.14%
Italy,automatic data processing planner adp planner,City,8,0.14%
Germany,geographic information systems database administrator gis database administrator,City,8,0.14%
Germany,geographic information systems data manager gis data manager,City,8,0.14%
Italy,engineer system electronic data processing engineer system edp,City,8,0.14%
Great Britain,database modeler,City,8,0.14%
Italy,database software technician,City,8,0.14%
Spain,data scientist,City,7,0.12%
Poland,data miner,City,7,0.12%
Spain,data architect,City,7,0.12%
Poland,data officer,City,7,0.12%
Poland,data warehouse analyst,City,7,0.12%
Italy,data management information technology specialist,City,7,0.12%
France,database tester,City,7,0.12%
Poland,data processing manager,City,7,0.12%
France,database engineer,City,7,0.12%
Poland,data administrator,City,7,0.12%
France,database coordinator,Rural,7,0.12%
Romania,database consultant,City,7,0.12%
France,data management associate,Rural,7,0.12%
Italy,automatic data processing systems security specialist adp systems security,City,7,0.12%
France,data management associate,City,7,0.12%
Spain,data processing systems project planner,City,7,0.12%
France,data processing manager,City,7,0.12%
Spain,data warehouse analyst,City,7,0.12%
France,data communications software consultant,City,7,0.12%
France,data communications analyst,City,7,0.12%
Spain,data warehouse specialist,City,7,0.12%
France,data base design analyst,City,7,0.12%
France,data security analyst,City,7,0.12%
Italy,data communications analyst,City,7,0.12%
Great Britain,database design analyst,City,7,0.12%
France,data warehouse analyst,City,7,0.12%
France,data architect,City,7,0.12%
Spain,database administration associate,City,7,0.12%
Spain,database architect,City,7,0.12%
France,database architect,City,7,0.12%
Spain,data modeling specialist,City,7,0.12%
France,automatic data processing planner adp planner,City,7,0.12%
France,automatic data processing customer liaison adp customer liaison,City,7,0.12%
Spain,database security administrator,City,7,0.12%
Germany,data warehouse analyst,City,7,0.12%
Spain,oracle database administrator oracle dba,City,7,0.12%
Germany,automatic data processing planner adp planner,City,7,0.12%
Italy,data warehousing engineer,City,7,0.12%
Germany,data storage specialist,Rural,7,0.12%
Spain,geographic information systems data manager gis data manager,City,7,0.12%
Germany,computer or data processing systems consultant,City,7,0.12%
Spain,geographic information systems database administrator gis database administrator,City,7,0.12%
Germany,data security analyst,City,7,0.12%
Germany,data security administrator,City,7,0.12%
France,internet database specialist,City,7,0.12%
Great Britain,data modeling specialist,City,7,0.12%
Germany,data miner,Rural,7,0.12%
Italy,data warehouse analyst,City,7,0.12%
Italy,database engineer,City,7,0.12%
Germany,data modeling specialist,City,7,0.12%
Italy,database marketing analyst,City,7,0.12%
Great Britain,data administrator,City,7,0.12%
Italy,data systems manager,City,7,0.12%
Germany,data warehouse developer,Rural,7,0.12%
Germany,database coordinator,City,7,0.12%
Romania,data management associate,City,7,0.12%
Germany,data coordinator,City,7,0.12%
Germany,data warehousing specialist,City,7,0.12%
Spain,databases software consultant,City,7,0.12%
Italy,database consultant,City,7,0.12%
Germany,data administrator,City,7,0.12%
Germany,database manager,City,7,0.12%
Great Britain,data warehouse analyst,City,7,0.12%
Great Britain,data warehouse architect,City,7,0.12%
Germany,database development and administration project manager,Rural,7,0.12%
Great Britain,data administrator,Rural,6,0.11%
France,data miner,City,6,0.11%
Great Britain,database manager,City,6,0.11%
Germany,data communications software consultant,City,6,0.11%
Great Britain,database manager,Rural,6,0.11%
France,data coordinator,City,6,0.11%
Great Britain,data coordinator,Rural,6,0.11%
